imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05259.jpg,34.29,20.29,50.00,#998365,#8e7753,#4f4434,#5b4b3e,#cabeaf
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05253.jpg,38.57,43.75,43.92,#a17e3f,#917c4b,#7b5935,#5a3b2e,#e9c991
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05247.jpg,40.80,40.98,64.12,#c9b17e,#8c744e,#745531,#352f28,#f8edbc
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05243.jpg,40.00,50.00,50.00,#bf943f,#85786e,#241c0c,#40322a,#e4ccc4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05236.jpg,19.29,35.00,50.00,#ac6f52,#7f5b43,#36231a,#4e4033,#f4e7e3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05231.jpg,25.71,39.62,41.57,#946440,#85756c,#3c2d1b,#4c3d2b,#e4cbbc
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05220.jpg,27.10,36.47,50.00,#ae7a51,#aa966f,#5a3f2a,#65553c,#e4d3c5
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05215.jpg,24.00,47.17,41.57,#9c6038,#8b7f78,#743f14,#4f3626,#dbb69d
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05211.jpg,27.69,40.94,50.20,#b47c4c,#a4896c,#693225,#554033,#fcecec
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05208.jpg,17.33,40.54,43.53,#9c5c42,#857471,#4a2120,#513e3b,#dcc4ae
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05202.jpg,32.31,43.33,47.06,#ac7c44,#a38464,#624329,#4d3a2c,#fcfcd3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05198.jpg,35.17,36.10,47.25,#a4804d,#8e816c,#5a462a,#4f4640,#ebdcc1
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05188.jpg,35.45,36.07,50.00,#ad8751,#9b6d58,#5a462a,#453932,#d8c6ac
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05176.jpg,7.50,6.35,50.00,#877977,#a1845c,#463f3e,#494543,#c0b9b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05171.jpg,28.00,50.42,53.33,#c4844c,#ad7f50,#613f1b,#644b37,#f4dc84
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05167.jpg,6.00,7.81,50.00,#897775,#b39869,#473e3d,#443b35,#c1b8b7
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05163.jpg,0.00,6.35,50.00,#877777,#998772,#463e3e,#534a43,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05158.jpg,27.74,65.43,31.76,#864d1c,#ac7454,#5f3b24,#3f332b,#fceceb
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05154.jpg,15.16,37.76,52.75,#b47059,#8e6953,#643f1c,#4a382f,#faf2f0
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05150.jpg,36.00,39.47,50.00,#b1894d,#9c896a,#5c4728,#6c583b,#e8dcca
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05145.jpg,25.00,41.38,45.49,#a46c44,#ab875c,#6a4833,#574030,#fcecea
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05139.jpg,6.96,55.20,50.00,#c54939,#8e7a66,#61241c,#4f433c,#fcece7
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05133.jpg,12.86,63.64,50.00,#d0512e,#8c6c64,#36150c,#553228,#e6a492
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05123.jpg,0.00,6.35,50.00,#877777,#a0937e,#463e3e,#675036,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05115.jpg,0.00,6.35,50.00,#877777,#806b4c,#463e3e,#4b433e,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05108.jpg,29.68,47.26,39.41,#946435,#937041,#583a19,#52473e,#dcbc9d
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05104.jpg,39.76,43.01,62.16,#c8ac75,#927d53,#5e4b25,#47413c,#e5d7c4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05100.jpg,32.00,65.22,50.00,#d2852c,#957b69,#6d4517,#4a3c32,#fbf4ec
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05096.jpg,40.00,39.02,51.76,#b49454,#a7916d,#5c4a28,#4c3f32,#d6c5a2
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05091.jpg,3.87,50.41,51.76,#c24e46,#9f7451,#6d3e34,#2f201a,#f5e3cf
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05085.jpg,31.76,78.16,65.88,#ecac64,#998066,#462d1c,#49413a,#fcf4ec
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05082.jpg,0.00,6.35,50.00,#877777,#98806e,#463e3e,#423c44,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05077.jpg,10.59,57.14,53.33,#cc5c44,#b28456,#6a4422,#4f4237,#f3ddaf
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05073.jpg,36.92,46.85,56.47,#c49c5c,#a48464,#441b16,#49392f,#f0e7d6
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05068.jpg,33.46,43.70,53.33,#bc8e54,#a28561,#6c2118,#573b2a,#fcece7
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05061.jpg,28.80,63.03,53.33,#d3853d,#99795b,#a86c3c,#705036,#edc897
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05055.jpg,13.04,38.98,34.71,#7b4536,#a1886c,#5f3227,#3e2e24,#e4d0bc
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05051.jpg,27.27,36.67,47.06,#a4744c,#917d66,#663426,#4c3b32,#fcece8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05045.jpg,31.69,37.55,53.53,#b58b5c,#ab8c63,#6e4c24,#564035,#fcf4f0
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05041.jpg,0.00,6.35,50.00,#877777,#9c886d,#463e3e,#51473f,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05019.jpg,38.00,53.57,50.00,#c3913b,#a99269,#654b1e,#8b6b45,#e5cfa9
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05010.jpg,34.44,39.71,50.00,#b2874c,#8f714d,#5c4627,#6d6464,#d6bfa0
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05007.jpg,36.23,41.73,50.00,#b48a4a,#937556,#5d4826,#52473e,#dac5a5
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05003.jpg,24.71,12.59,50.00,#8f7c6f,#958263,#4a4039,#524840,#c5bbb4
